,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
248,RVP,"Retractable Technologies, Inc.",12.78,$432.18M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/rvp,
249,REI,"Ring Energy, Inc.",1.04,$84.94M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/rei,
250,SACC,Sachem Capital Corp.,24.94,,2019.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sacc,
251,SACH,Sachem Capital Corp.,4.2,$92.92M,2017.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sach,
252,SCCB,Sachem Capital Corp.,25.27,,2019.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sccb,
253,SCCC,Sachem Capital Corp.,25.11,,2020.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sccc,
254,SNMP,Sanchez Midstream Partners LP,0.8786,$17.53M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/snmp,
255,SEB,Seaboard Corporation,3124.0,$3.63B,1996.0,Consumer Services,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/seb,
256,SENS,"Senseonics Holdings, Inc.",2.31,$567.49M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sens,
257,SVT,"Servotronics, Inc.",8.6,$21.4M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/svt,
258,SMTS,Sierra Metals Inc.,3.4,$553.52M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/smts,
259,SIF,"SIFCO Industries, Inc.",10.11,$59.81M,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/sif,
260,SVM,Silvercorp Metals Inc.,5.99,$1.05B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/svm,
261,SILV,SilverCrest Metals Inc.,9.25,$1.2B,2018.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/silv,
262,XPL,Solitario Zinc Corp.,0.7963,$46.27M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/xpl,
263,LOV,"Spark Networks, Inc.",6.28,$163.64M,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/lov,
264,STXS,"Stereotaxis, Inc.",4.99,$367.69M,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/stxs,
265,SSY,"SunLink Health Systems, Inc.",1.54,$10.62M,,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ssy,
266,SDPI,"Superior Drilling Products, Inc.",0.96,$24.59M,2014.0,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/sdpi,
267,SYN,"Synthetic Biologics, Inc",0.9116,$48.93M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/syn,
268,TKAT,"Takung Art Co., Ltd.",1.96,$22.09M,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/tkat,
269,TALO.WS,"Talos Energy, Inc.",,,,,,https://old.nasdaq.com/symbol/talo.ws,
270,TRX,Tanzanian Gold Corporation,0.6709999999999999,$140M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/trx,
271,TGB,Taseko Mines Limited,1.29,$360.17M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/tgb,
272,TGC,"Tengasco, Inc.",1.42,$15.17M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tgc,
273,GLU,The Gabelli Global Utility and Income Trust,18.47,$99.25M,2004.0,,,https://old.nasdaq.com/symbol/glu,
274,GLU^A,The Gabelli Global Utility and Income Trust,46.52,,,,,https://old.nasdaq.com/symbol/glu^a,
275,GLU^B,The Gabelli Global Utility and Income Trust,51.9,,,,,https://old.nasdaq.com/symbol/glu^b,
276,GGO,The Gabelli Go Anywhere Trust,13.3,$20.61M,2016.0,,,https://old.nasdaq.com/symbol/ggo,
277,GGO^A,The Gabelli Go Anywhere Trust,40.9265,,,,,https://old.nasdaq.com/symbol/ggo^a,
278,TDW.WS,Tidewater Inc.,,,,,,https://old.nasdaq.com/symbol/tdw.ws,
279,TMBR,"Timber Pharmaceuticals, Inc.",1.14,$13.51M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tmbr,
